,pew_religimp,pew_churatd,sex,educ,nonwhite,age,faminc_new,pid3,ideo5,QueerPhobia,ImmiPhobia,InterGBiasParty,InterGBiasCand,InterGBiasSup,LibMediaUse,ConMediaUse,Real_Threat,Symb_Threat,Evaluation,teamweight,caseid
335,1,5,2,3,2,29,1,2,5,4.33333333333333,3.5,96,99,92,3.0,3.0,5.0,5.0,3,0.374064942088831,1240610477
336,3,5,1,5,2,40,6,1,2,3.33333333333333,1.0,-58,-79,-53,1.0,1.0,3.75,3.71428571428571,0,1.47483638418006,1240738573
337,2,6,2,1,1,56,3,2,3,3.0,4.0,73,83,73,1.0,1.0,3.75,4.0,2,1.06126207684566,1240745885
338,4,6,2,5,1,43,9,2,3,2.0,1.0,48,74,76,1.33333333333333,1.66666666666667,3.0,3.71428571428571,2,1.02935923370282,1240785801
339,1,2,2,3,1,54,7,2,5,3.66666666666667,3.0,50,84,52,1.0,3.0,3.5,3.57142857142857,1,1.21873066796847,1240790819
340,1,3,2,5,1,53,9,3,3,2.33333333333333,1.0,37,40,61,1.0,2.33333333333333,2.0,2.0,2,1.18919271070701,1240858175
341,4,6,2,2,1,26,97,3,6,1.33333333333333,1.5,-22,-35,-23,2.33333333333333,2.33333333333333,3.0,2.85714285714286,0,0.626012661127782,1240883399
342,2,2,1,6,1,55,10,3,2,2.0,3.5,100,40,50,2.66666666666667,2.66666666666667,1.0,1.0,0,1.0124296228502,1240940841
343,2,5,2,3,2,47,3,2,4,3.33333333333333,4.0,86,94,82,2.0,2.0,5.0,4.85714285714286,2,0.464070707835749,1240941587
344,1,1,2,5,2,45,9,2,5,3.66666666666667,4.5,95,100,94,1.0,2.0,5.0,5.0,2,0.79892279037902,1240962811
345,2,5,1,4,1,57,10,2,5,3.0,3.5,75,90,89,1.0,3.0,4.25,4.42857142857143,2,0.955206883442232,1240999511
346,4,6,2,5,1,67,5,1,1,1.0,1.0,-85,-79,-80,5.33333333333333,2.33333333333333,4.0,3.85714285714286,0,0.731259195749353,1241044075
347,2,2,2,3,1,29,9,2,5,3.0,4.0,97,100,94,1.0,2.0,5.0,5.0,2,0.951763893533089,1241082843
348,1,2,2,5,1,67,97,3,4,3.33333333333333,3.0,42,94,95,2.0,5.66666666666667,4.25,5.0,2,1.02021116294363,1241095039
349,3,5,1,5,1,64,2,3,3,1.66666666666667,2.0,-53,-89,-73,3.0,3.0,4.0,4.85714285714286,0,0.730963644410155,1241123069
350,1,1,1,5,2,29,6,1,1,1.0,1.0,-60,-60,-70,3.66666666666667,2.0,3.75,4.85714285714286,0,1.58953167357545,1241183967
351,1,4,2,2,2,65,2,1,2,2.66666666666667,2.5,-85,-90,-85,3.33333333333333,2.33333333333333,3.25,3.0,0,1.30503165473012,1241202461
352,3,5,2,4,2,24,4,3,2,4.0,2.5,-13,-36,8,3.33333333333333,3.0,2.75,3.0,3,1.08456787635983,1241383489
353,2,3,1,5,1,65,12,3,3,1.33333333333333,2.5,-10,-75,-90,5.0,4.33333333333333,3.75,4.14285714285714,0,0.684277867979856,1241447493
354,4,4,2,5,1,27,10,1,2,1.33333333333333,1.5,-32,-48,-64,2.33333333333333,1.33333333333333,3.0,4.28571428571429,0,0.492619506186913,1241663893
355,3,6,2,5,2,23,10,1,1,1.0,1.0,-70,-89,-66,1.66666666666667,1.0,3.75,3.85714285714286,0,1.25607546122251,1241664149
