,endDate,msPlayed,userID,month,day
10,2023-03-01,2728862,1,2023-03,01
11,2023-03-01,3120122,0,2023-03,01
12,2023-03-01,9507940,2,2023-03,01
13,2023-03-02,1812763,0,2023-03,02
14,2023-03-02,7587651,2,2023-03,02
15,2023-03-03,4652475,0,2023-03,03
16,2023-03-03,7038717,2,2023-03,03
17,2023-03-04,1509322,0,2023-03,04
18,2023-03-04,12647120,2,2023-03,04
19,2023-03-05,3754238,1,2023-03,05
20,2023-03-05,5709341,2,2023-03,05
21,2023-03-06,9884522,1,2023-03,06
22,2023-03-06,3876687,2,2023-03,06
23,2023-03-06,3816155,0,2023-03,06
24,2023-03-07,6985074,2,2023-03,07
25,2023-03-07,3910106,0,2023-03,07
26,2023-03-07,1029374,1,2023-03,07
27,2023-03-08,4591679,2,2023-03,08
28,2023-03-08,3670358,0,2023-03,08
29,2023-03-08,2294489,1,2023-03,08
30,2023-03-09,2713383,2,2023-03,09
31,2023-03-09,1389948,0,2023-03,09
32,2023-03-10,16302436,2,2023-03,10
33,2023-03-10,4066824,1,2023-03,10
34,2023-03-10,3900524,0,2023-03,10
35,2023-03-11,12338801,2,2023-03,11
36,2023-03-11,3218866,0,2023-03,11
37,2023-03-11,4632154,1,2023-03,11
38,2023-03-12,8277485,2,2023-03,12
39,2023-03-12,4300985,0,2023-03,12
40,2023-03-13,6916972,2,2023-03,13
41,2023-03-13,802044,0,2023-03,13
42,2023-03-14,3217990,0,2023-03,14
43,2023-03-14,12303575,2,2023-03,14
44,2023-03-15,11118830,2,2023-03,15
45,2023-03-15,2991817,0,2023-03,15
46,2023-03-16,4362303,2,2023-03,16
47,2023-03-16,1041274,0,2023-03,16
48,2023-03-17,14096739,2,2023-03,17
49,2023-03-17,4398854,0,2023-03,17
50,2023-03-18,3922665,2,2023-03,18
51,2023-03-18,4687036,0,2023-03,18
52,2023-03-19,11159258,2,2023-03,19
53,2023-03-20,3428720,2,2023-03,20
54,2023-03-21,5203827,2,2023-03,21
55,2023-03-21,1539842,0,2023-03,21
56,2023-03-22,8422321,2,2023-03,22
57,2023-03-23,20683581,2,2023-03,23
58,2023-03-23,51093,0,2023-03,23
59,2023-03-24,351967,1,2023-03,24
60,2023-03-25,10564353,1,2023-03,25
61,2023-03-25,1908029,0,2023-03,25
62,2023-03-25,13766276,2,2023-03,25
63,2023-03-26,254078,1,2023-03,26
64,2023-03-28,3320170,0,2023-03,28
65,2023-03-28,1536569,1,2023-03,28
66,2023-03-29,4483234,1,2023-03,29
67,2023-03-29,9046160,2,2023-03,29
68,2023-03-29,1836660,0,2023-03,29
69,2023-03-30,18086350,2,2023-03,30
70,2023-03-30,5372941,0,2023-03,30
71,2023-03-30,9222555,1,2023-03,30
72,2023-03-31,6160,2,2023-03,31
73,2023-03-31,1483347,0,2023-03,31
74,2023-04-01,8158625,0,2023-04,01
75,2023-04-02,5146150,1,2023-04,02
76,2023-04-02,2642504,0,2023-04,02
77,2023-04-03,4222370,2,2023-04,03
78,2023-04-03,3270142,0,2023-04,03
79,2023-04-04,1405013,1,2023-04,04
80,2023-04-04,733926,0,2023-04,04
81,2023-04-04,13597346,2,2023-04,04
82,2023-04-05,7131939,2,2023-04,05
83,2023-04-05,2581057,1,2023-04,05
84,2023-04-06,4389412,0,2023-04,06
85,2023-04-06,6351328,1,2023-04,06
86,2023-04-06,4410845,2,2023-04,06
87,2023-04-07,2745244,0,2023-04,07
88,2023-04-07,4537177,1,2023-04,07
89,2023-04-07,12353848,2,2023-04,07
90,2023-04-08,896466,2,2023-04,08
91,2023-04-08,4029326,1,2023-04,08
92,2023-04-09,3533282,2,2023-04,09
93,2023-04-09,1326529,0,2023-04,09
94,2023-04-10,7505574,2,2023-04,10
95,2023-04-10,11094579,1,2023-04,10
96,2023-04-10,3818611,0,2023-04,10
97,2023-04-11,3011047,2,2023-04,11
98,2023-04-11,4316556,1,2023-04,11
99,2023-04-11,5700788,0,2023-04,11
100,2023-04-12,3969154,0,2023-04,12
101,2023-04-12,9680985,2,2023-04,12
102,2023-04-12,1349768,1,2023-04,12
